id,type,name,text_name,text_description,startNumber,prefab
c10002,road,A slightly crooked path,card_tile_road2,card_tile_road2,1,RoadTile1
c10003,road,A badly twisted path,card_tile_road3,card_tile_road3,1,RoadTile2
c10004,road,Three-way path,card_tile_road4,card_tile_road4,1,RoadTile3
c10005,road,Right fork path,card_tile_road5,card_tile_road5,1,RoadTile4
c10006,road,Left fork path,card_tile_road6,card_tile_road6,1,RoadTile5
c10007,road,Both fork path,card_tile_road7,card_tile_road7,1,RoadTile6
c10008,road,Table-shape forks path,card_tile_road8,card_tile_road8,1,RoadTile7
c11002,room,Small Room2,card_tile_room2,card_tile_room2,1,RoomTile1
c11003,room,Small Room3,card_tile_room3,card_tile_room3,1,RoomTile2
c11004,room,Small Room4,card_tile_room4,card_tile_room4,1,RoomTile3
