id,type,number,character name,character sprite,nameKey,track0,track1,sprite position,korean,english,trigger,act,desc
Tuto000,line,000,,,,,,,"어두운 동굴 속
낯선 풍경이다.","You woke up in the dark cave.
What you see is unfamiliar.",DeActiveSkip,,최초 튜토리얼 시작시 해당 부분 시작
Tuto000,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,좋은 아침입니다.,Good morning.,,,
Tuto000,line,001,파프라,파프라(기본),npc_name_papra,,,right,전하의 비서 파프라입니다.,"I am Papra, Your Lord's secretary.",,,
Tuto000,line,002,파프라,파프라(기본),npc_name_papra,,,right,비서 같은건 고용한 적이 없다...?,You've never hired an secretary...?,,,
Tuto000,line,003,파프라,파프라(기본),npc_name_papra,,,right,"전하, 지나친 음주와 흡연은 기억에 장애를 일으킵니다.","M'lord, excessive drink and smoke damages your memories.",,,
Tuto000,line,004,파프라,파프라(기본),npc_name_papra,,blink_start,right,하아...괜찮습니다.,Ha...it's okay.,,,
Tuto000,line,005,파프라,파프라(기본),npc_name_papra,,blink_end,right,다시 시작하면 그만입니다.,We can restart just fine.,,,
Tuto000,line,006,파프라,파프라(기본),npc_name_papra,,,right,소인 최선을 다해 보필하겠나이다.,I will do my best to serve.,,,
Tuto001,line,000,,,,,,,"어두운 동굴 속
익숙한 풍경이다.","You woke up in the dark cave.
What you see is familiar.",DeActiveSkip,,튜토리얼 시작시 해당 부분부터 시작
Tuto001,line,001,,,,,,,튜토리얼 스테이지를 스킵하시겠습니까?,Do you want to skip the tutorial stage?,,,
Tuto001,choice,002_a,,,,,,,예,Yes,,,튜토리얼 종료 / 이후 Dan000으로 이동
Tuto001,choice,002_b,,,,,,,아니오,No,,,Tuto002으로 이동
Tuto001,line,a_001,,,,,,,,,SkipTutorial,,
Tuto001,line,b_000,파프라,파프라(기본),npc_name_papra,idle,,right,좋은 아침입니다.,Good morning.,,,
Tuto001,line,b_001,파프라,파프라(기본),npc_name_papra,,,right,전하의 비서 파프라입니다.,"I am Papra, Your Lord's secretary.",,,
Tuto001,line,b_002,파프라,파프라(기본),npc_name_papra,,blink,right,비서 같은건 고용한 적이 없다...?,You've never hired an assistant...?,,,
Tuto001,line,b_003,파프라,파프라(기본),npc_name_papra,,,right,"전하, 지나친 음주와 흡연은 기억에 장애를 일으킵니다.","M'lord, excessive drink and smoke damages your memories.",,,
Tuto001,line,b_004,파프라,파프라(기본),npc_name_papra,,blink_start,right,하아...괜찮습니다.,Ha...it's okay.,,,
Tuto001,line,b_005,파프라,파프라(기본),npc_name_papra,,blink_end,right,다시 시작하면 그만입니다.,We can restart just fine.,,,
Tuto001,line,b_006,파프라,파프라(기본),npc_name_papra,,,right,소인 최선을 다해 보필하겠나이다.,I will do my best to serve.,,,
Tuto100,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,이곳은 전하의 마왕성 내부입니다.,This is your dungeon.,DeActiveSkip,,
Tuto100,line,001,파프라,파프라(기본),npc_name_papra,,blink,right,보고 계신 시작 타일에서 적들이 침입해 옵니다.,Enemies are invading from the starting tile you're looking at.,ZoomStartTile,,시작 타일로 카메라 확대
