level,enemy,number
0,farmer_sickle,2
1,farmer_sickle,2
1,farmer_fork,2
2,farmer_sickle,4
2,farmer_fork,4
3,farmer_sickle,6
3,farmer_fork,6
4,farmer_sickle,8
4,farmer_fork,8
4,warrior_normal,3
5,farmer_sickle,8
5,farmer_fork,8
5,warrior_normal,3
5,archer_normal,2
6,warrior_normal,5
6,farmer_fork,8
6,farmer_sickle,8
6,archer_normal,3
6,thief_normal,2
7,warrior_normal,8
7,thief_normal,4
7,archer_normal,4
7,farmer_sickle,8
7,farmer_fork,8
8,thief_normal,5
8,archer_normal,5
8,warrior_normal,8
8,farmer_sickle,8
8,farmer_fork,8
9,warrior_normal,10
9,thief_normal,10
9,archer_normal,10
9,farmer_sickle,8
9,farmer_fork,8
