ID,Name,Type,Content,ClearInfo,NameKey,ContentKey,InfoKey,TimeLimit,ClearNum,Reward,RewardNum,Failure,Penalty,NextQuest
q3001,살아남기,main,11라운드까지 생존,11라운드까지 생존,q3001_0,q3001_1,q3001_2,14280,10,-,-,마왕 사망,게임 패배,q_m3002
q3002,빚 갚기I,main,1500골드 변제,21라운드 전까지 1500골드 상환,q3002_0,q3002_1,q3002_2,14280,1500,-,-,제한시간 오버까지 완료조건 미달성,s_boss006 1개체 침입,
q3101,던전 건설I,sub,길 타일 배치,길 타일 5개 배치,q3101_0,q3101_1,q3101_2,4260,-5,Gold,50,제한 시간 오버,-,
q3101,던전 건설I,sub,카드 뽑기,덱에서 카드 5장 뽑기,q3101_0,q3101_3,q3101_4,4260,-5,Gold,50,제한 시간 오버,-,
q3102,마왕 타일 이동,sub,마왕방 타일 이동,마왕방 타일 1번 이동,q3102_0,q3102_1,q3102_2,4260,-1,Gold,50,제한 시간 오버,-,
q3103,함정 설치,sub,아무 함정 설치하기,아무 함정 5개 설치하기,q3103_0,q3103_1,q3103_2,4260,-5,Gold,50,제한 시간 오버,-,
q3104,던전 건설II,sub,단일방 타일 배치,단일방 타일 3개 배치,q3104_0,q3104_1,q3104_2,4260,-3,Gold,50,제한 시간 오버,-,
q3105,슬라임 배치,sub,슬라임 고용,슬라임 고용 3개,q3105_0,q3105_1,q3105_2,4260,-3,c30001,1,제한 시간 오버,-,
q3106,던전 건설III,sub,환경 타일 배치,환경 타일 3개 배치,q3106_0,q3106_1,q3106_2,4260,-3,Gold,50,제한 시간 오버,-,
q3107,히든 타일 조우,sub,히든 타일 밝히기,히든 타일 1개 밝히기,q3107_0,q3107_1,q3107_2,4260,-1,Gold,50,제한 시간 오버,-,
q3108,상점 오픈,sub,상점에서 아이템 구매,상점에서 아이템 1개 구매,q3108_0,q3108_1,q3108_2,4260,-1,Gold,50,제한 시간 오버,-,
q3109,시간 배속 조절,sub,시간 배속 조절,"시간 배속 1회 조절(배속 버튼 및 키보드 Space, F1, F2 조작)",q3109_0,q3109_1,q3109_2,4260,-1,c30002,1,제한 시간 오버,-,
q3110,고블린 연구,sub,고블린 전사 연구 진행,고블린 전사 연구 진행,q3110_0,q3110_1,q3110_2,4260,0,c30003,1,제한 시간 오버,-,
q3111,타일 철거,sub,타일 제거,타일 3개 제거(실패시 -300골드),q3111_0,q3111_1,q3111_2,4260,-3,-,-,제한 시간 오버,300골드 차감(마이너스 분은 버림),
q3112,마을 이장 처치,sub,마을이장 처치,마을이장 처치,q3112_0,q3112_1,q3112_2,4260,0,Gold,50,제한 시간 오버,-,
q3113,던전 연구 해금,sub,연구 진행하기,조합방 연구 진행하기,q3113_0,q3113_1,q3113_2,4260,0,Gold,50,제한 시간 오버,-,
q3114,조합방 사용하기,sub,조합방 사용하여 방 완성,조합방 3개를 사용하여 방 완성하기,q3114_0,q3114_1,q3114_2,4260,3,Gold,50,제한 시간 오버,-,
q3115,쿠오인 동생 찾기,sub,첫째 동생 찾기,히든 타일을 밝혀내어 첫째 동생 찾기,q3115_0,q3115_1,q3115_2,4260,0,-,-,제한 시간 오버,-,
q3116,도적 처치,sub,도적 처치하기,도적 5마리 처치하기,q3116_0,q3116_1,q3116_2,4260,-5,Gold,50,제한 시간 오버,-,
q3117,환경 타일과 생산지 시너지,sub,환경 타일 시너지 발동,환경 타일 시너지 발동,q3117_0,q3117_1,q3117_2,4260,0,Gold,50,제한 시간 오버,-,
q3118,골렘 배치,sub,완성된 조합방에 골렘 배치하기,골렘 배치하기,q3118_0,q3118_1,q3118_2,4260,0,Gold,50,제한 시간 오버,-,
q3119,길드장 처치,sub,길드장 처치,길드장 처치,q3119_0,q3119_1,q3119_2,4260,0,Gold,50,제한 시간 오버,-,
