id,korean,english
ui_title_continue,이어하기,Continue
ui_title_newgame,새로하기,New Game
ui_title_settings,설정,Settings
ui_title_exitgame,게임종료,Quit
ui_common_yes,예,Yes
ui_common_no,아니오,No
ui_common_ok,확인,OK
ui_common_back,돌아가기,Back
ui_common_always,항상,Always
ui_common_on,켜기,ON
ui_common_off,끄기,OFF
ui_menu_continue,계속하기,Continue
ui_menu_savegame,저장하기,Save Game
ui_menu_loadgame,불러오기,Load Game
ui_menu_gotitle,타이틀로,Go Title
ui_settings_gameplay,게임플레이,Gameplay
ui_settings_controls,컨트롤,Controls
ui_settings_display,비디오,Display
ui_settings_audio,오디오,Audio
ui_settings_language,언어,Language
ui_settings_autospeed,속도 자동조정,Auto speed adjustment
ui_settings_textsize,텍스트 크기,Text size
ui_settings_autospeed_tile,타일 배치 시,Tile placement
ui_settings_cameraspeed,카메라 이동속도,Camera speed
ui_settings_keyup,화면 이동 : 위,Move screen: Up
ui_settings_keyleft,화면 이동 : 왼쪽,Move screen: Left
ui_settings_keydown,화면 이동 : 아래,Move screen: Down
ui_settings_keyright,화면 이동 : 오른쪽,Move screen: Right
ui_settings_speed0,일시정지 / 재생,Pause / Play
ui_settings_speed1,게임 1배속,Game 1x speed
ui_settings_speed2,게임 2배속,Game 2x speed
ui_settings_resolution,해상도,Resolution
ui_settings_fullscreen,전체화면,Full screen
ui_settings_mouseconfine,마우스 가두기,Mouse confined
ui_settings_fpslimit,60프레임 제한,60 Frame Limits
ui_settings_mastervolume,마스터,Mater Volume
ui_settings_bgmvolume,배경음,Music Volume
ui_settings_fxvolume,효과음,Effects Volume
ui_settings_uivolume,UI조작,UI Volume
ui_settings_backgroundmute,최소화 시 음소거,Mute while in background
announce_title_nosave,저장된 게임 데이터가 없습니다.,There is no saved game data.
announce_ingame_tileconnect,모든 타일은 마왕 타일과 연결되어 있어야합니다.,All tiles must be connected to a demon tile.
announce_ingame_handfull,손 패가 가득 찼습니다.,Your hand is full.
announce_common_developing,개발중인 기능입니다.,This feature is in development.
announce_confirm_gotitle,타이틀로 나가시겠습니까?,Are you sure?
announce_confirm_exitgame,게임을 종료하시겠습니까?,Are you sure?
announce_warning_nosave,(주의)현재 게임 데이터는 저장되지 않습니다.,(Warning) Current game data will not be saved.
card_tile_road1,직선 길,A straight path
card_tile_road2,굽어져 있는 길,A slightly crooked path
card_tile_road3,심하게 꺽여있는 길,A badly twisted path
card_tile_road4,세갈래길,Three-way path
card_tile_road5,오른쪽 갈래길,Right fork path
card_tile_road6,왼쪽 갈래길,Left fork path
card_tile_road7,양쪽 갈래길,Both fork path
card_tile_road8,탁자 모양 갈래길,Table-shape forks path
card_tile_road9,X 모양 갈래길,X-shape forks path
card_tile_road10,포크 모양 갈래길,Fork-shape forks path
card_tile_road11,다섯갈래길,Five forks in the path
card_tile_room1,작은방1,Small Room1
card_tile_room2,작은방2,Small Room2
card_tile_room3,작은방3,Small Room3
card_tile_room4,작은방4,Small Room
card_tile_room_parts1,방 조각,Room Part
card_tile_room_parts2,방 조각,Room Part
card_tile_room_parts3,방 조각,Room Part
card_tile_room_parts4,방 조각,Room Part
card_tile_room_parts5,방 조각,Room Part
card_tile_room_parts6,방 조각,Room Part
card_tile_room_parts7,방 조각,Room Part
card_tile_room_parts8,방 조각,Room Part
card_tile_room_parts9,방 조각,Room Part
card_tile_room_parts10,방 조각,Room Part
card_tile_room_parts11,방 조각,Room Part
card_tile_room_parts12,방 조각,Room Part
card_tile_room_parts13,방 조각,Room Part
card_tile_room_parts14,방 조각,Room Part
card_tile_room_parts15,방 조각,Room Part
card_tile_roadroom1,길이 이어진 방,Room with a Room
card_tile_roadroom2,길이 이어진 방,Room with a Room
card_tile_roadroom3,길이 이어진 방,Room with a Room
card_tile_roadroom4,길이 이어진 방,Room with a Room
card_tile_roadroom5,길이 이어진 방,Room with a Room
card_tile_roadroom6,길이 이어진 방,Room with a Room
card_tile_roadroom7,길이 이어진 방,Room with a Room
card_tile_roadroom8,길이 이어진 방,Room with a Room
card_tile_roadroom9,길이 이어진 방,Room with a Room
card_tile_roadroom10,길이 이어진 방,Room with a Room
card_desc_rock,크고 단단한 바위'\n'설치시 모든 몬스터의 HP + 1,Large Hard Rock'\n'+1 HP for all monsters upon installation
card_desc_goldmine,반짝이는 금광'\n' 보상금 + 5,Shiny Gold Mine'\n'Reward + 5
card_desc_swamp,보기만 해도 끈적이는 늪'\n'주변 모험가들의 공격속도를 25% 감소,Sticky Swamp'\n'Reduces the attack speed of nearby Adventurers by 25%
