ID,Name,Type,Content,ClearInfo,TimeLimit,ClearNum,Reward,RewardNum,Failure,Penalty,NextQuest
q1001,빚 갚기I,main,500골드 변제,제한시간 종료시 500골드 보유,"14,280",10,-,,제한시간 오버까지 완료조건 미달성,게임 패배,q_m1002
q1002,빚 갚기II,main,800골드 변제,제한시간 종료시 800골드 보유,"14,280",10,-,,제한시간 오버까지 완료조건 미달성,게임 패배,q_m1003
q1003,빚 갚기III,main,1500골드 변제,제한시간 종료시 1500골드 보유,"14,280",10,-,,제한시간 오버까지 완료조건 미달성,게임 패배,q_m1004
q1004,빚 갚기IV,main,1800골드 변제,제한시간 종료시 1800골드 보유,"14,280",10,-,,제한시간 오버까지 완료조건 미달성,게임 패배,q_m1005
q1005,빚 갚기V,main,2500골드 변제,제한시간 종료시 2500골드 보유,"14,280",10,-,,제한시간 오버까지 완료조건 미달성,게임 패배,q_m1006
q1006,빚 갚기VI,main,3500골드 변제,제한시간 종료시 3500골드 보유,"14,280",10,-,,제한시간 오버까지 완료조건 미달성,게임 패배,q_m1007
q1007,빚 갚기VII,main,5000골드 변제,제한시간 종료시 5000골드 보유,"14,280",10,-,,제한시간 오버까지 완료조건 미달성,게임 패배,q_m1008
q1008,숨겨진 빚,main,1000000골드 변제,제한시간 종료시 1000000골드 보유,"1,320",10,-,,제한시간 오버까지 완료조건 미달성,-,q_m1009
q1009,도움 청하기,main,바르바토스 혹은 파이몬에게 도움 청하기,파이몬에게 도움을 청했다,0,0,-,,없음,-,q_m1010
q1010,도움 청하기,main,바르바토스 혹은 파이몬에게 도움 청하기,바르바토스에게 도움을 청했다,0,0,-,,없음,-,q_m1011
q1011,바르바토스의 투사 처치,main,바르바토스의 투사 벨레드 처치,제한시간 내에 보스 몬스터 처치,14400,10,게임 클리어,,제한시간 오버까지 완료조건 미달성,게임 패배,
q1012,파이몬의 투사 처치,main,파이몬의 투사 시트리 처치,제한시간 내에 보스 몬스터 처치,14400,10,게임 클리어,,제한시간 오버까지 완료조건 미달성,게임 패배,
q2001,던전 만들기 1,sub,함정 또는 몬스터 배치,함정 or 몬스터 1개 배치,1440,0,골드,100,제한 시간 오버,-,
q2002,던전 만들기 2,sub,길 타일을 3개 설치,제한시간 내에 타일 3개 설치,2880,-3,골드,100,제한 시간 오버,-,
q2003,동분서주,sub,마왕방 타일을 1번 이동,마왕방 타일 1번 이동,0,0,흑색허브,5,없음,-,
q2005,연구를 연구하다,sub,아무 연구나 완료,제한시간 내에 아무 연구 완료,4320,0,골드,200,제한 시간 오버,-,
q2007,안녕하세요. 마계상회입니다.,sub,상점에서 길 카드 팩을 구매,제한시간 내에 상점에서 길 카드 팩 구매,2880,-1,골드,100,제한 시간 오버,-,
q2008,체통 지키기,sub,이번 라운드 마왕방 타일 이동금지,제한시간 동안 마왕방 타일 이동하지 않기,1440,0,골드,1000,제한 시간 내에 마왕 방 타일 이동,-,
q2009,우두머리의 침입,sub,마을이장 처치,마을이장 처치,0,0,백색허브,20,없음,-,
q2010,"My road, My lord",sub,길 타일 5개를 이어서 설치,길 타일 5개를 이어서 설치,0,-5,흑색허브,20,없음,-,
q2011,이 방은 생각보다 넓은데,sub,조합방 타일 3개를 사용하여 방 완성,3개 이상의 조합방 타일을 사용하여 방 완성,0,-3,흑색허브,20,없음,-,
q2012,비밀을 삼켜서 뭐하지?,sub,5개의 비밀 타일을 밝혀내라,5개의 비밀 타일 밝혀내기,0,-5,자색허브,30,없음,-,
q2013,설명서는 타는 쓰레기,sub,가이드 창 열기,가이드 창 열기,0,0,흑색허브,10,없음,-,
q2014,수상한 편지,sub,지원품 획득,지원품 획득,0,0,모든허브,10,-,-,
