stage level,game time(second),real time(second),time magnification
1,86400,10,8640
2,86400,10,8640
3,86400,10,8640
4,86400,15,5760
5,86400,15,5760
6,86400,15,5760
7,86400,20,4320
8,86400,20,4320
9,86400,20,4320
10,86400,30,2880
11,86400,30,2880
12,86400,30,2880
13,86400,30,2880
14,86400,30,2880
15,86400,30,2880
16,86400,30,2880
17,86400,30,2880
18,86400,30,2880
19,86400,30,2880
20,86400,40,2160
21,86400,40,2160
22,86400,40,2160
23,86400,40,2160
24,86400,40,2160
25,86400,40,2160
26,86400,40,2160
27,86400,40,2160
28,86400,40,2160
29,86400,40,2160
30,86400,50,1728
31,86400,50,1728
32,86400,50,1728
33,86400,50,1728
34,86400,50,1728
35,86400,50,1728
36,86400,50,1728
37,86400,50,1728
38,86400,50,1728
39,86400,50,1728
40,86400,60,1440
41,86400,60,1440
42,86400,60,1440
43,86400,60,1440
44,86400,60,1440
45,86400,60,1440
46,86400,60,1440
47,86400,60,1440
48,86400,60,1440
49,86400,60,1440
50,86400,75,1152
51,86400,75,1152
52,86400,75,1152
53,86400,75,1152
54,86400,75,1152
55,86400,75,1152
56,86400,75,1152
57,86400,75,1152
58,86400,75,1152
59,86400,75,1152
60,86400,80,1080
61,86400,80,1080
62,86400,80,1080
63,86400,80,1080
64,86400,80,1080
65,86400,80,1080
66,86400,80,1080
67,86400,80,1080
68,86400,80,1080
69,86400,80,1080
70,86400,90,960
71,86400,90,960
72,86400,90,960
73,86400,90,960
74,86400,90,960
75,86400,90,960
76,86400,90,960
77,86400,90,960
78,86400,90,960
79,86400,90,960
80,86400,90,960
